,Category,Rating,Installs,Content_Rating,Last_Updated_Year,Min_Android_Ver,Reviews
0,ART_AND_DESIGN,4.1,10000,Everyone,2018,4.0,159.0
1,ART_AND_DESIGN,3.9,500000,Everyone,2018,4.0,967.0
2,ART_AND_DESIGN,4.7,5000000,Everyone,2018,4.0,87510.0
3,ART_AND_DESIGN,4.3,100000,Everyone,2018,4.4,967.0
4,ART_AND_DESIGN,4.4,50000,Everyone,2017,2.3,167.0
5,ART_AND_DESIGN,3.8,50000,Everyone,2018,4.0,178.0
6,ART_AND_DESIGN,4.1,1000000,Everyone,2018,4.2,36815.0
7,ART_AND_DESIGN,4.4,1000000,Everyone,2017,3.0,13791.0
8,ART_AND_DESIGN,4.7,10000,Everyone,2018,4.0,121.0
9,ART_AND_DESIGN,4.4,1000000,Everyone,2017,4.1,13880.0
10,ART_AND_DESIGN,4.4,1000000,Everyone,2018,4.0,8788.0
11,ART_AND_DESIGN,4.2,10000000,Teen,2018,4.1,44829.0
12,ART_AND_DESIGN,4.6,100000,Everyone,2018,4.4,4326.0
13,ART_AND_DESIGN,4.4,100000,Everyone,2018,2.3,1518.0
14,ART_AND_DESIGN,4.7,500000,Everyone,2018,4.1,3632.0
15,ART_AND_DESIGN,4.5,10000,Everyone,2017,2.3,27.0
16,ART_AND_DESIGN,4.3,5000000,Everyone,2018,4.0,37901.0
17,ART_AND_DESIGN,4.6,10000000,Everyone,2018,4.1,47891.6
18,ART_AND_DESIGN,4.0,100000,Everyone,2018,4.1,450.0
19,ART_AND_DESIGN,4.1,100000,Everyone,2018,4.0,654.0
20,ART_AND_DESIGN,4.7,500000,Everyone 10+,2018,4.0,7699.0
21,ART_AND_DESIGN,4.7,50000,Everyone,2018,4.1,118.0
22,ART_AND_DESIGN,4.8,10000,Everyone,2018,3.0,192.0
23,ART_AND_DESIGN,4.7,500000,Everyone,2017,4.0,20260.0
24,ART_AND_DESIGN,4.1,100000,Everyone,2018,4.0,203.0
25,ART_AND_DESIGN,3.9,10000,Everyone,2018,2.3,136.0
26,ART_AND_DESIGN,4.1,100000,Everyone,2017,2.3,223.0
27,ART_AND_DESIGN,4.2,100000,Everyone,2018,4.0,1120.0
28,ART_AND_DESIGN,4.1,50000,Everyone,2018,2.3,227.0
29,ART_AND_DESIGN,4.5,100000,Everyone,2018,4.0,5035.0
30,ART_AND_DESIGN,4.2,100000,Everyone,2018,4.1,1015.0
31,ART_AND_DESIGN,4.7,10000,Teen,2018,4.1,353.0
32,ART_AND_DESIGN,3.8,100000,Everyone,2018,4.1,564.0
33,ART_AND_DESIGN,4.7,500000,Everyone,2018,4.4,8145.0
34,ART_AND_DESIGN,4.1,5000000,Everyone,2018,2.3,36639.0
35,ART_AND_DESIGN,4.7,10000,Everyone,2017,4.0,158.0
36,ART_AND_DESIGN,4.0,500000,Everyone,2018,4.0,591.0
37,ART_AND_DESIGN,4.2,10000,Everyone,2018,4.0,117.0
38,ART_AND_DESIGN,4.5,100000,Everyone,2018,4.0,176.0
39,ART_AND_DESIGN,4.4,10000000,Everyone,2018,4.1,60713.4
40,ART_AND_DESIGN,3.8,100000,Everyone,2018,4.1,2206.0
41,ART_AND_DESIGN,4.2,10000,Everyone,2018,4.1,26.0
42,ART_AND_DESIGN,4.7,10000000,Everyone,2018,4.1,55690.8
43,ART_AND_DESIGN,4.6,100000,Everyone,2017,4.1,1070.0
44,ART_AND_DESIGN,4.2,100000,Everyone,2017,4.1,85.0
45,ART_AND_DESIGN,4.3,100000,Everyone,2018,2.3,845.0
46,AUTO_AND_VEHICLES,4.2,100000,Everyone,2018,4.0,367.0
47,AUTO_AND_VEHICLES,4.0,1000000,Everyone,2018,4.1,1598.0
48,AUTO_AND_VEHICLES,3.8,100000,Everyone,2018,4.1,284.0
49,AUTO_AND_VEHICLES,4.6,1000000,Everyone,2018,4.1,17057.0
50,AUTO_AND_VEHICLES,3.9,100000,Everyone,2018,4.1,129.0
51,AUTO_AND_VEHICLES,4.3,100000,Everyone,2018,4.1,542.0
52,AUTO_AND_VEHICLES,4.9,100000,Everyone,2018,4.0,10479.0
53,AUTO_AND_VEHICLES,4.4,50000,Everyone,2018,4.4,805.0
54,AUTO_AND_VEHICLES,4.2,100000,Everyone,2018,4.1,129.0
55,AUTO_AND_VEHICLES,4.0,100000,Everyone,2014,2.2,1403.0
56,AUTO_AND_VEHICLES,3.9,100000,Everyone,2018,4.4,3971.0
57,AUTO_AND_VEHICLES,4.6,10000,Everyone,2018,4.0,534.0
58,AUTO_AND_VEHICLES,4.9,100000,Everyone,2018,4.2,7774.0
59,AUTO_AND_VEHICLES,4.3,1000000,Everyone,2018,4.1,38846.0
60,AUTO_AND_VEHICLES,4.6,100000,Everyone,2018,4.0,2431.0
61,AUTO_AND_VEHICLES,4.9,100000,Everyone,2018,4.2,6090.0
62,AUTO_AND_VEHICLES,3.9,10000,Everyone,2018,4.4,295.0
63,AUTO_AND_VEHICLES,4.0,50000,Everyone,2016,2.3,190.0
64,AUTO_AND_VEHICLES,4.3,5000000,Everyone,2018,4.1,40211.0
65,AUTO_AND_VEHICLES,3.9,100000,Everyone,2018,4.1,356.0
66,AUTO_AND_VEHICLES,4.2,5000000,Everyone,2018,4.0,52530.0
67,AUTO_AND_VEHICLES,4.8,5000000,Everyone,2018,4.0,72675.2
68,AUTO_AND_VEHICLES,3.6,500000,Everyone,2018,4.2,1379.0
69,AUTO_AND_VEHICLES,4.2,10000000,Teen,2018,5.0,60270.4
70,AUTO_AND_VEHICLES,4.8,100000,Everyone,2018,2.3,736.0
71,AUTO_AND_VEHICLES,4.8,500000,Everyone,2018,4.0,7021.0
72,AUTO_AND_VEHICLES,4.6,50000,Everyone,2018,4.0,197.0
73,AUTO_AND_VEHICLES,4.5,100000,Everyone,2018,4.1,737.0
74,AUTO_AND_VEHICLES,4.3,1000000,Everyone 10+,2018,4.0,3574.0
75,AUTO_AND_VEHICLES,4.5,100000,Everyone,2018,4.1,994.0
76,AUTO_AND_VEHICLES,4.9,1000000,Everyone,2018,4.1,53312.6
77,AUTO_AND_VEHICLES,3.9,50000,Everyone,2018,6.0,142.0
78,AUTO_AND_VEHICLES,4.4,1000000,Everyone,2018,4.2,15168.0
79,AUTO_AND_VEHICLES,4.0,500000,Everyone,2018,5.0,2155.0
80,AUTO_AND_VEHICLES,4.3,100000,Everyone,2018,4.0,138.0
81,AUTO_AND_VEHICLES,3.7,1000000,Everyone,2018,4.4,5414.0
82,AUTO_AND_VEHICLES,4.4,1000000,Everyone,2018,4.1,21777.0
